tool,TP,FP,FN,TN,Accuracy,Recall,FPR,Precision,F1,dataset,pcap,traffic_generator,attack
zeek,,,,,,,,,,TII-SSRC-23,malicious/mirai-botnet/mirai_ddos_syn.pcap,,
zeek,398.0,0.0,10300.0,0.0,0.037203215554309214,0.037203215554309214,0.0,1.0,0.07173756308579668,TII-SSRC-23,malicious/mirai-botnet/mirai_scan_bruteforce.pcap,,
zeek,875.0,1594.0,7381.0,107410.0,0.9234606856558076,0.10598352713178294,0.014623316575538512,0.35439449169704335,0.16317016317016317,UNSW-NB15,pcaps_22-1-2015/pcaps_22-1-2015.pcap,,
zeek,10.0,8355.0,1457.0,59828.0,0.8591241923905241,0.006816632583503749,0.12253787601014916,0.001195457262402869,0.002034174125305126,CIC-IDS2017,Tuesday-WorkingHours_small.pcap,,
suricata,3.0,35.0,37.0,662.0,0.9023066485753053,0.075,0.05021520803443329,0.07894736842105263,0.07692307692307693,,,ID2T,EternalBlueExploit
suricata,0.0,35.0,0.0,661.0,0.9497126436781609,0.0,0.05028735632183908,0.0,0.0,,,ID2T,FTPWinaXeExploit
suricata,0.0,35.0,6.0,661.0,0.9415954415954416,0.0,0.05028735632183908,0.0,0.0,,,ID2T,JoomlaRegPrivExploit
suricata,0.0,35.0,0.0,661.0,0.9497126436781609,0.0,0.05028735632183908,0.0,0.0,,,ID2T,MS17ScanAttack
suricata,0.0,35.0,0.0,661.0,0.9497126436781609,0.0,0.05028735632183908,0.0,0.0,,,ID2T,MemcrashedSpooferAttack
suricata,0.0,35.0,0.0,661.0,0.9497126436781609,0.0,0.05028735632183908,0.0,0.0,,,ID2T,P2PBotnet
suricata,0.0,35.0,999.0,661.0,0.38997050147492623,0.0,0.05028735632183908,0.0,0.0,,,ID2T,PortscanAttack
suricata,0.0,35.0,506.0,661.0,0.5499168053244592,0.0,0.05028735632183908,0.0,0.0,,,ID2T,SMBLorisAttack
suricata,0.0,35.0,0.0,661.0,0.9497126436781609,0.0,0.05028735632183908,0.0,0.0,,,ID2T,SMBScanAttack
suricata,349.0,35.0,19.0,661.0,0.9492481203007519,0.9483695652173914,0.05028735632183908,0.9088541666666666,0.928191489361702,,,ID2T,SQLiAttack
suricata,32.0,35.0,13.0,661.0,0.9352226720647774,0.7111111111111111,0.05028735632183908,0.47761194029850745,0.5714285714285714,,,ID2T,SalityBotnet
snort,4.0,40.0,35.0,657.0,0.8980978260869565,0.10256410256410256,0.05738880918220947,0.09090909090909091,0.0963855421686747,,,ID2T,EternalBlueExploit
snort,0.0,40.0,0.0,656.0,0.9425287356321839,0.0,0.05747126436781609,0.0,0.0,,,ID2T,FTPWinaXeExploit
snort,3.0,40.0,3.0,656.0,0.9387464387464387,0.5,0.05747126436781609,0.06976744186046512,0.12244897959183673,,,ID2T,JoomlaRegPrivExploit
snort,0.0,40.0,0.0,656.0,0.9425287356321839,0.0,0.05747126436781609,0.0,0.0,,,ID2T,MS17ScanAttack
snort,0.0,40.0,0.0,656.0,0.9425287356321839,0.0,0.05747126436781609,0.0,0.0,,,ID2T,MemcrashedSpooferAttack
snort,0.0,40.0,0.0,656.0,0.9425287356321839,0.0,0.05747126436781609,0.0,0.0,,,ID2T,P2PBotnet
snort,1.0,40.0,998.0,656.0,0.38761061946902653,0.001001001001001001,0.05747126436781609,0.024390243902439025,0.0019230769230769232,,,ID2T,PortscanAttack
snort,0.0,40.0,489.0,656.0,0.5535864978902953,0.0,0.05747126436781609,0.0,0.0,,,ID2T,SMBLorisAttack
snort,0.0,40.0,0.0,656.0,0.9425287356321839,0.0,0.05747126436781609,0.0,0.0,,,ID2T,SMBScanAttack
snort,1.0,40.0,367.0,656.0,0.6174812030075187,0.002717391304347826,0.05747126436781609,0.024390243902439025,0.00488997555012225,,,ID2T,SQLiAttack
snort,33.0,40.0,12.0,656.0,0.9298245614035088,0.7333333333333333,0.05747126436781609,0.4520547945205479,0.5593220338983051,,,ID2T,SalityBotnet
zeek,37.0,54.0,2.0,643.0,0.9239130434782609,0.9487179487179487,0.07747489239598278,0.4065934065934066,0.5692307692307692,,,ID2T,EternalBlueExploit
zeek,0.0,54.0,0.0,642.0,0.9224137931034483,0.0,0.07758620689655173,0.0,0.0,,,ID2T,FTPWinaXeExploit
zeek,2.0,54.0,4.0,642.0,0.9173789173789174,0.3333333333333333,0.07758620689655173,0.03571428571428571,0.06451612903225806,,,ID2T,JoomlaRegPrivExploit
zeek,0.0,54.0,0.0,642.0,0.9224137931034483,0.0,0.07758620689655173,0.0,0.0,,,ID2T,MS17ScanAttack
zeek,0.0,54.0,0.0,642.0,0.9224137931034483,0.0,0.07758620689655173,0.0,0.0,,,ID2T,MemcrashedSpooferAttack
zeek,0.0,54.0,0.0,642.0,0.9224137931034483,0.0,0.07758620689655173,0.0,0.0,,,ID2T,P2PBotnet
zeek,0.0,54.0,999.0,642.0,0.3787610619469027,0.0,0.07758620689655173,0.0,0.0,,,ID2T,PortscanAttack
zeek,0.0,54.0,503.0,642.0,0.5354462051709759,0.0,0.07758620689655173,0.0,0.0,,,ID2T,SMBLorisAttack
zeek,0.0,54.0,0.0,642.0,0.9224137931034483,0.0,0.07758620689655173,0.0,0.0,,,ID2T,SMBScanAttack
zeek,111.0,54.0,258.0,642.0,0.7070422535211267,0.3008130081300813,0.07758620689655173,0.6727272727272727,0.4157303370786517,,,ID2T,SQLiAttack
zeek,0.0,54.0,45.0,642.0,0.8663967611336032,0.0,0.07758620689655173,0.0,0.0,,,ID2T,SalityBotnet
