,timestamp,src_ip,src_port,dest_ip,dest_port,proto,flow_alerted
74,01/22-12:50:18.824966, 59.166.0.1,16931, 149.171.126.3,38340, udp,True
75,01/22-12:50:18.825594, 59.166.0.1,15133, 149.171.126.3,111, udp,True
76,01/22-12:50:18.825599, 59.166.0.1,15133, 149.171.126.3,111, udp,True
77,01/22-12:50:18.966888, 175.45.176.0,39500, 149.171.126.15,80, tcp,True
78,01/22-12:50:19.222732, 149.171.126.8,53, 59.166.0.2,58771, udp,True
79,01/22-12:50:19.322671, 149.171.126.5,53, 59.166.0.1,24551, udp,True
80,01/22-12:50:19.422678, 149.171.126.4,53, 59.166.0.6,25689, udp,True
81,01/22-12:50:19.521605, 59.166.0.1,29622, 149.171.126.8,111, udp,True
82,01/22-12:50:19.521624, 59.166.0.1,29622, 149.171.126.8,111, udp,True
83,01/22-12:50:19.524884, 59.166.0.1,31564, 149.171.126.8,55173, udp,True
84,01/22-12:50:19.524890, 59.166.0.1,31564, 149.171.126.8,55173, udp,True
85,01/22-12:50:19.546643, 59.166.0.1,29622, 149.171.126.8,111, udp,True
86,01/22-12:50:19.546654, 59.166.0.1,29622, 149.171.126.8,111, udp,True
87,01/22-12:50:19.621596, 59.166.0.5,56644, 149.171.126.2,111, udp,True
88,01/22-12:50:19.621608, 59.166.0.5,56644, 149.171.126.2,111, udp,True
89,01/22-12:50:19.639587, 59.166.0.5,30507, 149.171.126.2,32859, udp,True
90,01/22-12:50:19.639598, 59.166.0.5,30507, 149.171.126.2,32859, udp,True
91,01/22-12:50:19.666618, 59.166.0.5,56644, 149.171.126.2,111, udp,True
92,01/22-12:50:19.666629, 59.166.0.5,56644, 149.171.126.2,111, udp,True
93,01/22-12:50:19.822754, 149.171.126.7,53, 59.166.0.2,32716, udp,True
94,01/22-12:50:19.922692, 149.171.126.1,53, 59.166.0.8,47061, udp,True
95,01/22-12:50:20.022650, 149.171.126.5,53, 59.166.0.5,49910, udp,True
96,01/22-12:50:20.014745, 175.45.176.0,29309, 149.171.126.14,3000, tcp,True
97,01/22-12:50:20.014745, 175.45.176.0,29309, 149.171.126.14,3000, tcp,True
98,01/22-12:50:20.122721, 149.171.126.5,53, 59.166.0.9,41515, udp,True
99,01/22-12:50:20.222704, 149.171.126.2,53, 59.166.0.8,44119, udp,True
100,01/22-12:50:20.422738, 149.171.126.1,53, 59.166.0.3,40309, udp,True
101,01/22-12:50:20.722734, 149.171.126.7,53, 59.166.0.6,15807, udp,True
102,01/22-12:50:20.821611, 59.166.0.2,36701, 149.171.126.7,111, udp,True
103,01/22-12:50:20.821622, 59.166.0.2,36701, 149.171.126.7,111, udp,True
104,01/22-12:50:20.824731, 59.166.0.2,62824, 149.171.126.7,14455, udp,True
105,01/22-12:50:20.824736, 59.166.0.2,62824, 149.171.126.7,14455, udp,True
106,01/22-12:50:20.825283, 59.166.0.2,36701, 149.171.126.7,111, udp,True
107,01/22-12:50:20.825287, 59.166.0.2,36701, 149.171.126.7,111, udp,True
108,01/22-12:50:20.922741, 149.171.126.0,53, 59.166.0.2,19393, udp,True
109,01/22-12:50:21.122763, 149.171.126.0,53, 59.166.0.6,57983, udp,True
110,01/22-12:50:21.322705, 149.171.126.0,53, 59.166.0.1,26719, udp,True
111,01/22-12:50:21.422737, 149.171.126.7,53, 59.166.0.7,57137, udp,True
112,01/22-12:50:21.327484, 175.45.176.0,4159, 149.171.126.18,80, tcp,True
113,01/22-12:50:21.592999, 149.171.126.18,80, 175.45.176.0,4159, tcp,True
114,01/22-12:50:21.922839, 149.171.126.7,53, 59.166.0.9,4864, udp,True
115,01/22-12:50:22.022724, 149.171.126.6,53, 59.166.0.6,6379, udp,True
116,01/22-12:50:22.122735, 149.171.126.0,53, 59.166.0.7,34944, udp,True
117,01/22-12:50:22.157440, 149.171.126.12,80, 175.45.176.3,44762, tcp,True
118,01/22-12:50:22.157440, 149.171.126.12,80, 175.45.176.3,44762, tcp,True
119,01/22-12:50:22.157440, 149.171.126.12,80, 175.45.176.3,44762, tcp,True
120,01/22-12:50:22.222690, 149.171.126.0,53, 59.166.0.5,13987, udp,True
121,01/22-12:50:22.322823, 149.171.126.4,53, 59.166.0.3,40146, udp,True
122,01/22-12:50:22.422768, 149.171.126.3,53, 59.166.0.1,35110, udp,True
123,01/22-12:50:22.522813, 149.171.126.8,53, 59.166.0.8,37848, udp,True
124,01/22-12:50:22.622711, 149.171.126.1,53, 59.166.0.6,16859, udp,True
125,01/22-12:50:22.722707, 149.171.126.3,53, 59.166.0.8,62676, udp,True
126,01/22-12:50:22.822775, 149.171.126.0,53, 59.166.0.3,1809, udp,True
127,01/22-12:50:22.922764, 149.171.126.0,53, 59.166.0.4,61452, udp,True
128,01/22-12:50:23.259453, 149.171.126.13,80, 175.45.176.2,43850, tcp,True
129,01/22-12:50:23.259453, 149.171.126.13,80, 175.45.176.2,43850, tcp,True
130,01/22-12:50:23.259453, 149.171.126.13,80, 175.45.176.2,43850, tcp,True
131,01/22-12:50:23.322740, 149.171.126.6,53, 59.166.0.9,30521, udp,True
132,01/22-12:50:23.421653, 59.166.0.8,53697, 149.171.126.7,111, udp,True
133,01/22-12:50:23.421670, 59.166.0.8,53697, 149.171.126.7,111, udp,True
134,01/22-12:50:23.424852, 59.166.0.8,53247, 149.171.126.7,25790, udp,True
135,01/22-12:50:23.424858, 59.166.0.8,53247, 149.171.126.7,25790, udp,True
136,01/22-12:50:23.425416, 59.166.0.8,53697, 149.171.126.7,111, udp,True
137,01/22-12:50:23.425423, 59.166.0.8,53697, 149.171.126.7,111, udp,True
138,01/22-12:50:23.722766, 149.171.126.5,53, 59.166.0.6,4318, udp,True
139,01/22-12:50:23.822730, 149.171.126.1,53, 59.166.0.6,45430, udp,True
140,01/22-12:50:23.921656, 59.166.0.2,45898, 149.171.126.1,111, udp,True
141,01/22-12:50:23.921668, 59.166.0.2,45898, 149.171.126.1,111, udp,True
142,01/22-12:50:23.924888, 59.166.0.2,39128, 149.171.126.1,48372, udp,True
143,01/22-12:50:23.924894, 59.166.0.2,39128, 149.171.126.1,48372, udp,True
144,01/22-12:50:23.925651, 59.166.0.2,45898, 149.171.126.1,111, udp,True
145,01/22-12:50:23.925658, 59.166.0.2,45898, 149.171.126.1,111, udp,True
146,01/22-12:50:24.122958, 149.171.126.0,53, 59.166.0.4,17491, udp,True
147,01/22-12:50:24.222802, 149.171.126.3,53, 59.166.0.9,14309, udp,True
148,01/22-12:50:24.322852, 149.171.126.4,53, 59.166.0.2,37437, udp,True
149,01/22-12:50:24.522855, 149.171.126.0,53, 59.166.0.7,19947, udp,True
150,01/22-12:50:24.622739, 149.171.126.4,53, 59.166.0.7,1929, udp,True
151,01/22-12:50:24.722780, 149.171.126.8,53, 59.166.0.4,59256, udp,True
152,01/22-12:50:24.821675, 59.166.0.7,60615, 149.171.126.9,111, udp,True
153,01/22-12:50:24.821687, 59.166.0.7,60615, 149.171.126.9,111, udp,True
154,01/22-12:50:24.824880, 59.166.0.7,26360, 149.171.126.9,10351, udp,True
155,01/22-12:50:24.824885, 59.166.0.7,26360, 149.171.126.9,10351, udp,True
156,01/22-12:50:24.825413, 59.166.0.7,60615, 149.171.126.9,111, udp,True
157,01/22-12:50:24.825420, 59.166.0.7,60615, 149.171.126.9,111, udp,True
158,01/22-12:50:25.128232, 149.171.126.13,80, 175.45.176.1,4765, tcp,True
159,01/22-12:50:25.222738, 149.171.126.4,53, 59.166.0.7,51164, udp,True
160,01/22-12:50:25.612877, 149.171.126.13,80, 175.45.176.1,52726, tcp,True
161,01/22-12:50:25.722776, 149.171.126.0,53, 59.166.0.2,8931, udp,True
162,01/22-12:50:25.822791, 149.171.126.6,53, 59.166.0.5,39193, udp,True
163,01/22-12:50:25.918394, 175.45.176.3,22359, 149.171.126.11,111, udp,True
164,01/22-12:50:25.918411, 175.45.176.3,22359, 149.171.126.11,111, udp,True
165,01/22-12:50:25.922709, 149.171.126.0,53, 59.166.0.3,11600, udp,True
166,01/22-12:50:26.001390, 192.168.241.243,0, 192.168.241.243,0, icmp,True
167,01/22-12:50:26.022794, 149.171.126.1,53, 59.166.0.4,12252, udp,True
168,01/22-12:50:26.322852, 149.171.126.5,53, 59.166.0.5,1344, udp,True
169,01/22-12:50:26.422811, 149.171.126.7,53, 59.166.0.4,20571, udp,True
170,01/22-12:50:26.622856, 149.171.126.1,53, 59.166.0.2,25822, udp,True
171,01/22-12:50:26.722741, 149.171.126.1,53, 59.166.0.3,25557, udp,True
172,01/22-12:50:26.822782, 149.171.126.2,53, 59.166.0.6,27338, udp,True
173,01/22-12:50:26.922914, 149.171.126.3,53, 59.166.0.0,28852, udp,True
174,01/22-12:50:27.022829, 149.171.126.5,53, 59.166.0.6,53847, udp,True
175,01/22-12:50:27.122853, 149.171.126.0,53, 59.166.0.4,48170, udp,True
176,01/22-12:50:27.222748, 149.171.126.3,53, 59.166.0.3,46822, udp,True
177,01/22-12:50:27.312875, 175.45.176.0,9590, 149.171.126.10,6661, tcp,True
178,01/22-12:50:27.303403, 175.45.176.0,36918, 149.171.126.17,80, tcp,True
179,01/22-12:50:27.303403, 175.45.176.0,36918, 149.171.126.17,80, tcp,True
180,01/22-12:50:27.331358, 149.171.126.17,80, 175.45.176.0,36918, tcp,True
181,01/22-12:50:27.331358, 149.171.126.17,80, 175.45.176.0,36918, tcp,True
182,01/22-12:50:27.331358, 149.171.126.17,80, 175.45.176.0,36918, tcp,True
183,01/22-12:50:27.422881, 149.171.126.3,53, 59.166.0.0,6211, udp,True
184,01/22-12:50:27.522763, 149.171.126.0,53, 59.166.0.3,42094, udp,True
185,01/22-12:50:27.380710, 149.171.126.17,80, 175.45.176.0,36918, tcp,True
186,01/22-12:50:27.380710, 149.171.126.17,80, 175.45.176.0,36918, tcp,True
187,01/22-12:50:27.622824, 149.171.126.2,53, 59.166.0.6,8569, udp,True
188,01/22-12:50:27.595084, 149.171.126.17,80, 175.45.176.0,36918, tcp,True
189,01/22-12:50:27.595084, 149.171.126.17,80, 175.45.176.0,36918, tcp,True
190,01/22-12:50:27.595084, 149.171.126.17,80, 175.45.176.0,36918, tcp,True
191,01/22-12:50:27.822819, 149.171.126.9,53, 59.166.0.1,13156, udp,True
192,01/22-12:50:27.660238, 149.171.126.17,80, 175.45.176.0,36918, tcp,True
193,01/22-12:50:27.660238, 149.171.126.17,80, 175.45.176.0,36918, tcp,True
194,01/22-12:50:27.660238, 149.171.126.17,80, 175.45.176.0,36918, tcp,True
195,01/22-12:50:28.122896, 149.171.126.7,53, 59.166.0.5,22160, udp,True
196,01/22-12:50:28.222801, 149.171.126.9,53, 59.166.0.4,64521, udp,True
197,01/22-12:50:28.201613, 175.45.176.0,27804, 149.171.126.16,111, tcp,True
198,01/22-12:50:28.421729, 59.166.0.8,62105, 149.171.126.4,111, udp,True
199,01/22-12:50:28.421750, 59.166.0.8,62105, 149.171.126.4,111, udp,True
200,01/22-12:50:28.424958, 59.166.0.8,55459, 149.171.126.4,59029, udp,True
201,01/22-12:50:28.424964, 59.166.0.8,55459, 149.171.126.4,59029, udp,True
202,01/22-12:50:28.425538, 59.166.0.8,62105, 149.171.126.4,111, udp,True
203,01/22-12:50:28.425542, 59.166.0.8,62105, 149.171.126.4,111, udp,True
204,01/22-12:50:28.722890, 149.171.126.1,53, 59.166.0.4,28228, udp,True
205,01/22-12:50:28.922888, 149.171.126.7,53, 59.166.0.0,32302, udp,True
206,01/22-12:50:29.022863, 149.171.126.9,53, 59.166.0.0,53052, udp,True
207,01/22-12:50:29.222848, 149.171.126.4,53, 59.166.0.6,5702, udp,True
208,01/22-12:50:29.322856, 149.171.126.5,53, 59.166.0.7,45400, udp,True
209,01/22-12:50:29.273685, 175.45.176.2,63163, 149.171.126.11,8080, tcp,True
210,01/22-12:50:29.622888, 149.171.126.3,53, 59.166.0.1,41574, udp,True
211,01/22-12:50:29.723055, 149.171.126.5,53, 59.166.0.5,13226, udp,True
212,01/22-12:50:29.822899, 149.171.126.3,53, 59.166.0.0,34652, udp,True
213,01/22-12:50:29.922876, 149.171.126.4,53, 59.166.0.8,17542, udp,True
214,01/22-12:50:30.022842, 149.171.126.5,53, 59.166.0.7,18688, udp,True
215,01/22-12:50:30.119124, 175.45.176.3,23776, 149.171.126.12,80, tcp,True
216,01/22-12:50:30.119124, 175.45.176.3,23776, 149.171.126.12,80, tcp,True
217,01/22-12:50:30.222862, 149.171.126.0,53, 59.166.0.0,23585, udp,True
218,01/22-12:50:30.321758, 59.166.0.8,24521, 149.171.126.0,111, udp,True
219,01/22-12:50:30.321770, 59.166.0.8,24521, 149.171.126.0,111, udp,True
220,01/22-12:50:30.324798, 59.166.0.8,55894, 149.171.126.0,31810, udp,True
221,01/22-12:50:30.324803, 59.166.0.8,55894, 149.171.126.0,31810, udp,True
222,01/22-12:50:30.325335, 59.166.0.8,24521, 149.171.126.0,111, udp,True
223,01/22-12:50:30.325342, 59.166.0.8,24521, 149.171.126.0,111, udp,True
224,01/22-12:50:30.421758, 59.166.0.1,54819, 149.171.126.4,111, udp,True
225,01/22-12:50:30.421769, 59.166.0.1,54819, 149.171.126.4,111, udp,True
226,01/22-12:50:30.424846, 59.166.0.1,56339, 149.171.126.4,26995, udp,True
227,01/22-12:50:30.424851, 59.166.0.1,56339, 149.171.126.4,26995, udp,True
228,01/22-12:50:30.425387, 59.166.0.1,54819, 149.171.126.4,111, udp,True
229,01/22-12:50:30.425394, 59.166.0.1,54819, 149.171.126.4,111, udp,True
230,01/22-12:50:30.521755, 59.166.0.9,57192, 149.171.126.3,111, udp,True
231,01/22-12:50:30.521767, 59.166.0.9,57192, 149.171.126.3,111, udp,True
232,01/22-12:50:30.524866, 59.166.0.9,50620, 149.171.126.3,29594, udp,True
233,01/22-12:50:30.524871, 59.166.0.9,50620, 149.171.126.3,29594, udp,True
234,01/22-12:50:30.525402, 59.166.0.9,57192, 149.171.126.3,111, udp,True
235,01/22-12:50:30.525409, 59.166.0.9,57192, 149.171.126.3,111, udp,True
236,01/22-12:50:30.622934, 149.171.126.2,53, 59.166.0.2,57325, udp,True
237,01/22-12:50:30.722850, 149.171.126.0,53, 59.166.0.9,30978, udp,True
238,01/22-12:50:30.922883, 149.171.126.1,53, 59.166.0.1,46386, udp,True
239,01/22-12:50:31.022840, 149.171.126.8,53, 59.166.0.5,49954, udp,True
240,01/22-12:50:31.107823, 175.45.176.2,45388, 149.171.126.18,80, tcp,True
241,01/22-12:50:31.222855, 149.171.126.0,53, 59.166.0.5,44442, udp,True
242,01/22-12:50:31.422909, 149.171.126.8,53, 59.166.0.4,11620, udp,True
243,01/22-12:50:31.522865, 149.171.126.0,53, 59.166.0.6,12731, udp,True
244,01/22-12:50:31.722873, 149.171.126.3,53, 59.166.0.7,16524, udp,True
245,01/22-12:50:31.821791, 59.166.0.3,63421, 149.171.126.9,111, udp,True
246,01/22-12:50:31.821802, 59.166.0.3,63421, 149.171.126.9,111, udp,True
247,01/22-12:50:31.825052, 59.166.0.3,20954, 149.171.126.9,15964, udp,True
248,01/22-12:50:31.825057, 59.166.0.3,20954, 149.171.126.9,15964, udp,True
249,01/22-12:50:31.825631, 59.166.0.3,63421, 149.171.126.9,111, udp,True
250,01/22-12:50:31.825635, 59.166.0.3,63421, 149.171.126.9,111, udp,True
251,01/22-12:50:32.022900, 149.171.126.0,53, 59.166.0.1,59760, udp,True
252,01/22-12:50:32.222875, 149.171.126.9,53, 59.166.0.5,26325, udp,True
253,01/22-12:50:32.322874, 149.171.126.2,53, 59.166.0.4,57620, udp,True
254,01/22-12:50:32.422858, 149.171.126.7,53, 59.166.0.0,51670, udp,True
255,01/22-12:50:32.522901, 149.171.126.6,53, 59.166.0.4,50226, udp,True
256,01/22-12:50:32.622885, 149.171.126.2,53, 59.166.0.4,54178, udp,True
257,01/22-12:50:32.569465, 149.171.126.14,143, 175.45.176.0,30003, tcp,True
258,01/22-12:50:32.569465, 149.171.126.14,143, 175.45.176.0,30003, tcp,True
259,01/22-12:50:32.722842, 149.171.126.1,53, 59.166.0.0,53212, udp,True
260,01/22-12:50:32.634235, 149.171.126.14,143, 175.45.176.0,30003, tcp,True
261,01/22-12:50:32.822863, 149.171.126.0,53, 59.166.0.5,3929, udp,True
262,01/22-12:50:33.022868, 149.171.126.4,53, 59.166.0.2,45773, udp,True
263,01/22-12:50:33.322923, 149.171.126.6,53, 59.166.0.9,13190, udp,True
264,01/22-12:50:33.522924, 149.171.126.2,53, 59.166.0.7,16464, udp,True
265,01/22-12:50:33.329946, 175.45.176.1,47096, 149.171.126.16,111, tcp,True
266,01/22-12:50:33.622903, 149.171.126.5,53, 59.166.0.2,17916, udp,True
267,01/22-12:50:33.721811, 59.166.0.2,20117, 149.171.126.1,111, udp,True
268,01/22-12:50:33.721823, 59.166.0.2,20117, 149.171.126.1,111, udp,True
269,01/22-12:50:33.724988, 59.166.0.2,59553, 149.171.126.1,37382, udp,True
270,01/22-12:50:33.724993, 59.166.0.2,59553, 149.171.126.1,37382, udp,True
271,01/22-12:50:33.725543, 59.166.0.2,20117, 149.171.126.1,111, udp,True
272,01/22-12:50:33.725548, 59.166.0.2,20117, 149.171.126.1,111, udp,True
273,01/22-12:50:33.822900, 149.171.126.3,53, 59.166.0.3,59680, udp,True
274,01/22-12:50:33.922916, 149.171.126.9,53, 59.166.0.5,23282, udp,True
275,01/22-12:50:34.122921, 149.171.126.2,53, 59.166.0.0,31547, udp,True
276,01/22-12:50:34.222835, 149.171.126.7,53, 59.166.0.2,56626, udp,True
277,01/22-12:50:34.216100, 175.45.176.3,9002, 149.171.126.19,111, tcp,True
278,01/22-12:50:34.522952, 149.171.126.5,53, 59.166.0.3,1371, udp,True
279,01/22-12:50:34.722823, 149.171.126.9,53, 59.166.0.7,5470, udp,True
280,01/22-12:50:35.022956, 149.171.126.3,53, 59.166.0.7,12090, udp,True
281,01/22-12:50:35.122918, 149.171.126.0,53, 59.166.0.4,18442, udp,True
282,01/22-12:50:35.222870, 149.171.126.6,53, 59.166.0.3,34198, udp,True
283,01/22-12:50:35.267922, 149.171.126.16,80, 175.45.176.1,12940, tcp,True
284,01/22-12:50:35.422930, 149.171.126.2,53, 59.166.0.7,17961, udp,True
285,01/22-12:50:35.522921, 149.171.126.9,53, 59.166.0.2,62538, udp,True
286,01/22-12:50:35.722966, 149.171.126.9,53, 59.166.0.8,58414, udp,True
287,01/22-12:50:36.022991, 149.171.126.3,53, 59.166.0.6,28229, udp,True
288,01/22-12:50:36.241055, 175.45.176.3,26334, 149.171.126.16,80, tcp,True
289,01/22-12:50:36.422979, 149.171.126.7,53, 59.166.0.2,49540, udp,True
290,01/22-12:50:36.622930, 149.171.126.4,53, 59.166.0.0,6686, udp,True
291,01/22-12:50:36.821855, 59.166.0.1,8985, 149.171.126.1,111, udp,True
292,01/22-12:50:36.821867, 59.166.0.1,8985, 149.171.126.1,111, udp,True
293,01/22-12:50:36.825251, 59.166.0.1,10364, 149.171.126.1,6601, udp,True
294,01/22-12:50:36.825258, 59.166.0.1,10364, 149.171.126.1,6601, udp,True
295,01/22-12:50:36.825913, 59.166.0.1,8985, 149.171.126.1,111, udp,True
296,01/22-12:50:36.825917, 59.166.0.1,8985, 149.171.126.1,111, udp,True
297,01/22-12:50:37.022967, 149.171.126.9,53, 59.166.0.8,40814, udp,True
298,01/22-12:50:37.122982, 149.171.126.7,53, 59.166.0.0,21048, udp,True
299,01/22-12:50:37.322992, 149.171.126.2,53, 59.166.0.2,63409, udp,True
300,01/22-12:50:37.423128, 149.171.126.2,53, 59.166.0.8,64882, udp,True
301,01/22-12:50:37.522998, 149.171.126.2,53, 59.166.0.0,22344, udp,True
302,01/22-12:50:37.722961, 149.171.126.4,53, 59.166.0.7,61379, udp,True
303,01/22-12:50:37.822971, 149.171.126.3,53, 59.166.0.9,54957, udp,True
304,01/22-12:50:38.023001, 149.171.126.7,53, 59.166.0.1,50629, udp,True
305,01/22-12:50:38.122994, 149.171.126.3,53, 59.166.0.5,42591, udp,True
306,01/22-12:50:38.221875, 59.166.0.1,46904, 149.171.126.2,111, udp,True
307,01/22-12:50:38.221887, 59.166.0.1,46904, 149.171.126.2,111, udp,True
308,01/22-12:50:38.225379, 59.166.0.1,48289, 149.171.126.2,20438, udp,True
309,01/22-12:50:38.225387, 59.166.0.1,48289, 149.171.126.2,20438, udp,True
310,01/22-12:50:38.226030, 59.166.0.1,46904, 149.171.126.2,111, udp,True
311,01/22-12:50:38.226034, 59.166.0.1,46904, 149.171.126.2,111, udp,True
312,01/22-12:50:38.292454, 149.171.126.11,80, 175.45.176.3,31149, tcp,True
313,01/22-12:50:38.523145, 149.171.126.0,53, 59.166.0.8,45682, udp,True
314,01/22-12:50:38.622946, 149.171.126.0,53, 59.166.0.6,38993, udp,True
315,01/22-12:50:38.923020, 149.171.126.1,53, 59.166.0.0,14789, udp,True
316,01/22-12:50:39.002227, 192.168.241.243,0, 192.168.241.243,0, icmp,True
317,01/22-12:50:39.223043, 149.171.126.7,53, 59.166.0.4,21489, udp,True
318,01/22-12:50:39.322970, 149.171.126.8,53, 59.166.0.9,59720, udp,True
319,01/22-12:50:39.422899, 149.171.126.4,53, 59.166.0.1,62377, udp,True
320,01/22-12:50:39.522967, 149.171.126.3,53, 59.166.0.8,55879, udp,True
